appln_id,IPC,earliest_filing_year,Company
472958248,B65G,2016,goldwind
472976523,F16N,2016,goldwind
473482287,H02G,2016,goldwind
473482507,H02K,2016,goldwind
473489440,G01R,2016,goldwind
473503441,F03D,2016,goldwind
473503893,F03D,2016,goldwind
473563791,F03D,2016,goldwind
473574448,F15B,2016,goldwind
473776137,F03D,2016,goldwind
473815197,G01N,2016,goldwind
473880320,F03D,2015,goldwind
473880320,B23P,2015,goldwind
473880320,F16C,2015,goldwind
473881499,F16C,2015,goldwind
473881499,F03D,2015,goldwind
473881499,B23P,2015,goldwind
474307974,H02K,2015,goldwind
474307974,F03D,2015,goldwind
474308066,H02K,2015,goldwind
474308066,F03D,2015,goldwind
474308881,H02K,2015,goldwind
474595664,H02G,2016,goldwind
474596914,G01N,2016,goldwind
474596936,H02K,2016,goldwind
474605068,H01H,2016,goldwind
474717451,B25H,2016,goldwind
474858671,H02K,2016,goldwind
474861860,G01R,2016,goldwind
474862750,F03D,2016,goldwind
474863805,B67C,2016,goldwind
474864543,G01L,2016,goldwind
474864543,F03D,2016,goldwind
474865923,F04B,2016,goldwind
474867329,F03D,2016,goldwind
474867329,B01D,2016,goldwind
474867361,B66C,2016,goldwind
474867619,G01R,2016,goldwind
474869743,H02K,2016,goldwind
474975378,F03D,2016,goldwind
474977268,B25B,2016,goldwind
474978064,H02G,2016,goldwind
474978064,F03D,2016,goldwind
474978434,B23P,2016,goldwind
474980780,G01P,2016,goldwind
474983259,F03D,2016,goldwind
475104931,B65G,2016,goldwind
475246761,H02J,2016,goldwind
475367286,B65D,2016,goldwind
475380313,B24B,2016,goldwind
475538234,F15B,2016,goldwind
475572297,B29C,2016,goldwind
475572297,B29L,2016,goldwind
475572837,H02G,2016,goldwind
475580490,F03D,2016,goldwind
475583559,F03D,2016,goldwind
475583559,B66C,2016,goldwind
475769929,H01R,2016,goldwind
475772655,G01N,2016,goldwind
475773997,F16L,2016,goldwind
475776699,F03D,2016,goldwind
475935383,F03D,2016,goldwind
475947287,G01D,2016,goldwind
475947287,H02K,2016,goldwind
476032493,G01B,2016,goldwind
476034104,B29C,2016,goldwind
476034496,F03D,2016,goldwind
476059306,B29C,2016,goldwind
476061254,B29C,2016,goldwind
476176938,F03D,2016,goldwind
476182122,G01N,2016,goldwind
476182938,G05B,2016,goldwind
476183372,F03D,2016,goldwind
476193307,F16D,2016,goldwind
476397276,G01L,2016,goldwind
476526788,G01N,2016,goldwind
476577482,F03D,2016,goldwind
476600577,B29C,2016,goldwind
476600577,B29L,2016,goldwind
476603271,B29L,2016,goldwind
476603271,B29C,2016,goldwind
476609265,F16L,2016,goldwind
476609265,H02G,2016,goldwind
476611592,H02G,2016,goldwind
476643130,F03D,2016,goldwind
476681686,H05B,2016,goldwind
476681686,B29C,2016,goldwind
476690936,B01D,2016,goldwind
476709518,G01R,2016,goldwind
476709518,G05B,2016,goldwind
476716714,F03D,2016,goldwind
476716874,H01F,2016,goldwind
476717550,H02J,2016,goldwind
476717588,H02G,2016,goldwind
476727485,B66C,2016,goldwind
476728357,B23P,2016,goldwind
476728357,F03D,2016,goldwind
476734560,G05B,2016,goldwind
476981427,F16D,2016,goldwind
476981427,F03D,2016,goldwind
476982689,H05K,2016,goldwind
476982689,H02M,2016,goldwind
477208040,G01H,2016,goldwind
477208040,G01M,2016,goldwind
477217602,F03D,2016,goldwind
477218404,F03D,2016,goldwind
477218404,B66C,2016,goldwind
477224829,H02M,2016,goldwind
477224829,H03H,2016,goldwind
477435030,H02K,2016,goldwind
477435200,G01D,2016,goldwind
477435200,H02K,2016,goldwind
477652961,H02H,2016,goldwind
477719214,H02G,2016,goldwind
477719214,F03D,2016,goldwind
477957520,G01R,2016,goldwind
477957804,H02M,2016,goldwind
477958992,G01R,2016,goldwind
477963717,F03D,2015,goldwind
477963717,H02K,2015,goldwind
477987427,G05F,2016,goldwind
477990596,B05C,2016,goldwind
477999841,F03D,2016,goldwind
478000789,G01P,2016,goldwind
478000789,F03D,2016,goldwind
478002025,F03D,2016,goldwind
478004589,B23P,2016,goldwind
478004589,F03D,2016,goldwind
478006338,F03D,2016,goldwind
478006488,F03D,2016,goldwind
478006488,F16J,2016,goldwind
478006488,F16C,2016,goldwind
478007929,G01B,2016,goldwind
478009327,G01R,2016,goldwind
478009431,G01R,2016,goldwind
478010509,H02J,2016,goldwind
478010509,H02M,2016,goldwind
478011049,B66C,2016,goldwind
478104225,H02J,2016,goldwind
478110893,B25B,2016,goldwind
478111670,F03D,2016,goldwind
478177374,F03D,2016,goldwind
478553930,B66B,2016,goldwind
478561576,G01B,2016,goldwind
478577885,H01B,2016,goldwind
478834099,F16G,2015,goldwind
478834099,F03D,2015,goldwind
478834099,F16B,2015,goldwind
478834719,F16G,2015,goldwind
